Game Title,Status,HLTB Main Story (Rounded),Time Played (Rounded),,,,,Backlog,,,
Resident Evil 3,Completed,6 hrs,12.2 hrs,,,,,,,,
Resident Evil 4 (2005),Completed,15.5 hrs,14.6 hrs,,,,,,,,
Resident Evil 5,Completed,12.1 hrs,44.3 hrs,,,,,,,,
Resident Evil 6,Completed,21 hrs,5 hrs,,,,,,,,
Resident Evil 7 Biohazard,Completed,9.3 hrs,3.1 hrs,,,,,,,,
RESIDENT EVIL RESISTANCE,Multiplayer,0 hrs,0.8 hrs,,,,,,,,
Resident Evil Revelations,Backlog,8.4 hrs,0.4 hrs,,,,,,,,
Resident Evil Revelations 2,Backlog,10.2 hrs,0 hrs,,,,,,,,
Return NULL - Episode 1,Dropped,0.7 hrs,0 hrs,,,,,,,,
REVOLVER360 RE:ACTOR,Arcade,1.9 hrs,0 hrs,,,,,,,,
Rise of the Tomb Raider,Dropped,13.4 hrs,6.1 hrs,,,,,,,,
Risen,Backlog,27.8 hrs,0 hrs,,,,,,,,
Risen 2 - Dark Waters,Backlog,26 hrs,0 hrs,,,,,,,,
RKGK / Rakugaki,Backlog,3.2 hrs,0 hrs,,,,,,,,
RoboCop: Rogue City,Completed,11.8 hrs,16.7 hrs,,,,,,,,
Rocket League,Multiplayer,4.6 hrs,33.8 hrs,,,,,,,,
Rocksmith® 2014 Edition - Remastered,Arcade,0 hrs,5.5 hrs,,,,,,,,
RPG Maker VX Ace,Arcade,20.4 hrs,17.4 hrs,,,,,,,,
Ryse: Son of Rome,Backlog,6.4 hrs,0 hrs,,,,,,,,
S.T.A.L.K.E.R.: Call of Pripyat,Backlog,15.1 hrs,0 hrs,,,,,,,,
S.T.A.L.K.E.R.: Call of Prypiat - Enhanced Edition,Backlog,15.1 hrs,0 hrs,,,,,,,,
S.T.A.L.K.E.R.: Clear Sky,Backlog,12.7 hrs,0 hrs,,,,,,,,
S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,Backlog,12.7 hrs,0 hrs,,,,,,,,
S.T.A.L.K.E.R.: Shadow of Chernobyl,Backlog,15.1 hrs,0 hrs,,,,,,,,
S.T.A.L.K.E.R.: Shadow of Chornobyl - Enhanced Edition,Backlog,15.1 hrs,0 hrs,,,,,,,,
Sacred 3,Backlog,8.6 hrs,0 hrs,,,,,,,,
Saints Row,Completed,12.6 hrs,0 hrs,,,,,,,,
Saints Row 2,Completed,20 hrs,1.7 hrs,,,,,,,,
Saints Row IV,Completed,15.3 hrs,9.1 hrs,,,,,,,,
Saints Row: Gat out of Hell,Completed,4.4 hrs,5.7 hrs,,,,,,,,
Saints Row: The Third,Completed,15.4 hrs,17.4 hrs,,,,,,,,
Sam & Max 301: The Penal Zone,Dropped,3.7 hrs,0 hrs,,,,,,,,
Sam & Max 302: The Tomb of Sammun-Mak,Dropped,3.1 hrs,0 hrs,,,,,,,,
Sam & Max 303: They Stole Max's Brain!,Dropped,3.1 hrs,0 hrs,,,,,,,,
Sam & Max 304: Beyond the Alley of the Dolls,Dropped,2.5 hrs,0 hrs,,,,,,,,
Sam & Max 305: The City that Dares not Sleep,Dropped,2.6 hrs,0 hrs,,,,,,,,
SanctuaryRPG: Black Edition,Backlog,11.9 hrs,1.1 hrs,,,,,,,,
Satellite Reign,Backlog,21.7 hrs,0 hrs,,,,,,,,
Sea of Thieves,Multiplayer,41.5 hrs,1.6 hrs,,,,,,,,
SEGA Mega Drive & Genesis Classics,Arcade,10.5 hrs,1.1 hrs,,,,,,,,
Sekiro™: Shadows Die Twice,Completed,30 hrs,32 hrs,,,,,,,,
Serial Cleaner,Arcade,4.9 hrs,0 hrs,,,,,,,,
Session: Skate Sim,Arcade,5.7 hrs,3.8 hrs,,,,,,,,
Severed Steel,Backlog,3 hrs,0 hrs,,,,,,,,
Shadow Gambit: The Cursed Crew,Backlog,27.6 hrs,0 hrs,,,,,,,,
Shadow Warrior,Completed,12.3 hrs,8.5 hrs,,,,,,,,
Shadowrun Chronicles - Boston Lockdown,Backlog,23 hrs,0 hrs,,,,,,,,
Shenmue I & II,Completed,35.6 hrs,42.8 hrs,,,,,,,,
Shin Megami Tensei V: Vengeance,Backlog,45.4 hrs,13 hrs,,,,,,,,
Showgunners,Backlog,13.5 hrs,0 hrs,,,,,,,,
Sid Meier's Civilization V,Arcade,40.1 hrs,14.2 hrs,,,,,,,,
Sid Meier's Civilization VI,Arcade,23.7 hrs,12.1 hrs,,,,,,,,
Sid Meier's Pirates!,Arcade,10.3 hrs,0 hrs,,,,,,,,
Sideway,Multiplayer,4 hrs,0 hrs,,,,,,,,
Sifu,Completed,7.8 hrs,0.9 hrs,,,,,,,,
Silent Hill: Homecoming,Backlog,9.3 hrs,0 hrs,,,,,,,,
Sir Whoopass™: Immortal Death,Backlog,7.5 hrs,0 hrs,,,,,,,,
Sirius Online,Multiplayer,0 hrs,0 hrs,,,,,,,,
Sker Ritual,Backlog,9.2 hrs,0 hrs,,,,,,,,
Skullgirls 2nd Encore,Multiplayer,3.3 hrs,0.7 hrs,,,,,,,,
Slay the Spire,Arcade,12.1 hrs,7.4 hrs,,,,,,,,
Sleeping Dogs: Definitive Edition,Completed,14.3 hrs,16.1 hrs,,,,,,,,
"Slice, Dice & Rice",Arcade,1.2 hrs,0.1 hrs,,,,,,,,
SMITE 2,Multiplayer,1.8 hrs,0 hrs,,,,,,,,
Snakebird,Arcade,7.2 hrs,0.4 hrs,,,,,,,,
Sniper Elite,Dropped,13 hrs,0.3 hrs,,,,,,,,
Sniper Elite 3,Backlog,9.1 hrs,5.3 hrs,,,,,,,,
Sniper Elite 4,Backlog,10.7 hrs,0 hrs,,,,,,,,
Sniper Elite 5,Backlog,10.7 hrs,0 hrs,,,,,,,,
Sniper Elite V2,Arcade,7.2 hrs,0 hrs,,,,,,,,
Sniper Elite V2 Remastered,Arcade,6.2 hrs,0 hrs,,,,,,,,
Solstice,Dropped,4.4 hrs,0 hrs,,,,,,,,
Sonic & All-Stars Racing Transformed Collection,Arcade,7.5 hrs,0.8 hrs,,,,,,,,
Sonic Adventure DX,Completed,9.1 hrs,5.3 hrs,,,,,,,,
Sonic Adventure™ 2 ,Completed,9 hrs,1.2 hrs,,,,,,,,
Sonic and SEGA All Stars Racing,Arcade,5.1 hrs,0.6 hrs,,,,,,,,
Sonic CD,Backlog,2 hrs,0 hrs,,,,,,,,
Sonic Generations,Completed,5.5 hrs,6.1 hrs,,,,,,,,
Sonic Lost World,Dropped,7.4 hrs,0.9 hrs,,,,,,,,
SONIC THE HEDGEHOG 4 Episode I,Backlog,2.6 hrs,0.2 hrs,,,,,,,,
SONIC THE HEDGEHOG 4 Episode II,Backlog,2.5 hrs,0 hrs,,,,,,,,
SONIC X SHADOW GENERATIONS,Completed,6.5 hrs,4 hrs,,,,,,,,
Sons Of The Forest,Multiplayer,15.3 hrs,2.7 hrs,,,,,,,,
Soul Axiom,Backlog,13.3 hrs,0 hrs,,,,,,,,
SOULCALIBUR VI,Multiplayer,7 hrs,0.6 hrs,,,,,,,,
Soulstice,Backlog,17 hrs,0 hrs,,,,,,,,
South of Midnight,Backlog,9.7 hrs,2.5 hrs,,,,,,,,
South Park™: The Stick of Truth™,Completed,11.5 hrs,16.8 hrs,,,,,,,,
Space Station 14 Playtest,Multiplayer,0 hrs,0 hrs,,,,,,,,
Spec Ops: The Line,Backlog,6.1 hrs,0 hrs,,,,,,,,
Spider-Man: Far From Home Virtual Reality,Completed,0.4 hrs,0.3 hrs,,,,,,,,
Spin Rhythm XD,Arcade,5.2 hrs,1.3 hrs,,,,,,,,
Split Fiction,Completed,13.2 hrs,14 hrs,,,,,,,,
SpongeBob SquarePants: The Cosmic Shake,Backlog,7 hrs,0 hrs,,,,,,,,
Spooky's Jump Scare Mansion,Backlog,3.8 hrs,0 hrs,,,,,,,,
STAR OCEAN THE SECOND STORY R,Completed,25.5 hrs,28.8 hrs,,,,,,,,
"Star Wars: Battlefront 2 (Classic, 2005)",Arcade,8 hrs,0 hrs,,,,,,,,
STAR WARS™ Battlefront™ II,Multiplayer,6.5 hrs,18.1 hrs,,,,,,,,
STAR WARS™ Knights of the Old Republic™,Backlog,29 hrs,1 hrs,,,,,,,,
STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,Backlog,30.5 hrs,0 hrs,,,,,,,,
STAR WARS™: Bounty Hunter™,Backlog,7.5 hrs,0 hrs,,,,,,,,
STAR WARS™: The Force Unleashed™ II,Completed,5 hrs,3.1 hrs,,,,,,,,
STAR WARS™: The Force Unleashed™ Ultimate Sith Edition,Completed,8 hrs,8.1 hrs,,,,,,,,
Stardew Valley,Arcade,53.4 hrs,4.8 hrs,,,,,,,,
Starship Troopers: Terran Command,Backlog,13.6 hrs,0 hrs,,,,,,,,
Station to Station,Arcade,9.4 hrs,1.7 hrs,,,,,,,,
Stealth Inc 2,Backlog,9.1 hrs,0 hrs,,,,,,,,
Steelrising,Backlog,15.2 hrs,0 hrs,,,,,,,,
Stellar Blade™,Completed,21.5 hrs,50.1 hrs,,,,,,,,
Stick Fight: The Game,Multiplayer,1.7 hrs,1 hrs,,,,,,,,
Sticky Business,Arcade,6.9 hrs,0 hrs,,,,,,,,
Stranded: Alien Dawn,Arcade,18.6 hrs,0 hrs,,,,,,,,
Streets Of Kamurocho,Arcade,0.4 hrs,0 hrs,,,,,,,,
Strider,Backlog,5.5 hrs,0.2 hrs,,,,,,,,
Strong Bad Episode 1: Homestar Ruiner,Dropped,2.6 hrs,0 hrs,,,,,,,,
Strong Bad Episode 2: Strong Badia the Free,Dropped,2.8 hrs,0 hrs,,,,,,,,
Strong Bad Episode 3: Baddest of the Bands,Dropped,2.5 hrs,0 hrs,,,,,,,,
Strong Bad Episode 4: Dangeresque 3,Dropped,2.1 hrs,0 hrs,,,,,,,,
Strong Bad Episode 5: 8-Bit Is Enough,Dropped,2.5 hrs,0 hrs,,,,,,,,
Styx: Master of Shadows,Backlog,17 hrs,0 hrs,,,,,,,,
Sunset Overdrive,Backlog,10.1 hrs,0 hrs,,,,,,,,
Super Meat Boy,Completed,9.4 hrs,12.7 hrs,,,,,,,,
SUPERHOT VR,Completed,2 hrs,1.6 hrs,,,,,,,,
Symphony of War: The Nephilim Saga,Backlog,29.2 hrs,0 hrs,,,,,,,,
Tabletop Simulator,Multiplayer,7.5 hrs,2.4 hrs,,,,,,,,
Tactics Ogre: Reborn,Completed,53.9 hrs,77 hrs,,,,,,,,
Tainted Grail: The Fall of Avalon,Playing,22.3 hrs,13.9 hrs,,,,,,,,
Tales And Tactics,Arcade,5.3 hrs,0 hrs,,,,,,,,
Tales from the Borderlands,Backlog,10.6 hrs,0 hrs,,,,,,,,
Tales of Symphonia,Backlog,46.7 hrs,2.9 hrs,,,,,,,,
Tchia,Backlog,7.6 hrs,0 hrs,,,,,,,,
Team Fortress Classic,Multiplayer,16 hrs,0 hrs,,,,,,,,
TEKKEN 7,Multiplayer,3.5 hrs,17.1 hrs,,,,,,,,
TEKKEN 8,Multiplayer,4 hrs,35 hrs,,,,,,,,
Temtem,Multiplayer,57.4 hrs,7 hrs,,,,,,,,
TERA,Multiplayer,34.8 hrs,0 hrs,,,,,,,,
Terminator: Resistance,Completed,9.6 hrs,10.2 hrs,,,,,,,,
Terraformers,Arcade,28.7 hrs,0 hrs,,,,,,,,
Terraria,Arcade,52 hrs,1.8 hrs,,,,,,,,
Tetris® Effect: Connected,Arcade,3 hrs,2.5 hrs,,,,,,,,
The Amazing Spider-Man,Completed,8.6 hrs,0.3 hrs,,,,,,,,
The Awesome Adventures of Captain Spirit,Dropped,1.6 hrs,0 hrs,,,,,,,,
The Bard's Tale Trilogy,Backlog,29 hrs,0 hrs,,,,,,,,
The Binding of Isaac: Afterbirth+,Multiplayer,5.1 hrs,0 hrs,,,,,,,,
The Binding of Isaac: Rebirth,Backlog,5.6 hrs,1.5 hrs,,,,,,,,
The Bureau: XCOM Declassified,Backlog,10.4 hrs,0 hrs,,,,,,,,
The Cabin Factory,Completed,1 hrs,0.5 hrs,,,,,,,,
The Callisto Protocol,Completed,10.1 hrs,0 hrs,,,,,,,,
The Convenience Store | 夜勤事件,Completed,2 hrs,2.2 hrs,,,,,,,,
The Council,Backlog,14.2 hrs,0 hrs,,,,,,,,
The Dark Eye: Chains of Satinav,Backlog,9.8 hrs,0 hrs,,,,,,,,
The Darkness II,Backlog,6.1 hrs,0 hrs,,,,,,,,
The Elder Scrolls II: Daggerfall,Arcade,31.5 hrs,0 hrs,,,,,,,,
The Elder Scrolls III: Morrowind,Arcade,44 hrs,0.4 hrs,,,,,,,,
The Elder Scrolls IV: Oblivion Game of the Year Edition (2009),Completed,31 hrs,60 hrs,,,,,,,,
The Elder Scrolls IV: Oblivion Remastered,Completed,17 hrs,90.2 hrs,,,,,,,,
The Elder Scrolls Online,Multiplayer,47.9 hrs,72 hrs,,,,,,,,
The Elder Scrolls V: Skyrim,Completed,34.7 hrs,2.6 hrs,,,,,,,,
The Elder Scrolls V: Skyrim Special Edition,Completed,26 hrs,66.4 hrs,,,,,,,,
The Elder Scrolls V: Skyrim VR,Completed,21.6 hrs,0.5 hrs,,,,,,,,
The Elder Scrolls: Arena,Arcade,26.1 hrs,0 hrs,,,,,,,,
The Elder Scrolls: Legends,Arcade,4.9 hrs,0 hrs,,,,,,,,
The Evil Within,Completed,15.3 hrs,0 hrs,,,,,,,,
The Evil Within 2,Completed,13.3 hrs,0.5 hrs,,,,,,,,
The Excavation of Hob's Barrow,Backlog,7 hrs,0.7 hrs,,,,,,,,
The Flame in the Flood,Backlog,8.6 hrs,0 hrs,,,,,,,,
The Invincible,Multiplayer,6.6 hrs,0 hrs,,,,,,,,
The Jackbox Megapicker,Multiplayer,0 hrs,0 hrs,,,,,,,,
The Lab,Completed,1 hrs,0.2 hrs,,,,,,,,
The Last Campfire,Backlog,5.2 hrs,0 hrs,,,,,,,,
The Legend of Heroes: Trails in the Sky,Backlog,40.4 hrs,0 hrs,,,,,,,,
The LEGO® NINJAGO® Movie Video Game,Dropped,6.5 hrs,0 hrs,,,,,,,,
The Lord of the Rings Online™,Multiplayer,2.5 hrs,0 hrs,,,,,,,,
The Murder of Sonic the Hedgehog,Backlog,2.3 hrs,0 hrs,,,,,,,,
The Outlast Trials,Multiplayer,13.8 hrs,5.8 hrs,,,,,,,,
The Red Strings Club,Backlog,4 hrs,0 hrs,,,,,,,,
The Stanley Parable,Completed,1.5 hrs,0.3 hrs,,,,,,,,
The Surge,Backlog,20.8 hrs,0 hrs,,,,,,,,
The Thaumaturge,Backlog,16.2 hrs,0 hrs,,,,,,,,
The Typing of The Dead: Overkill,Arcade,3.9 hrs,0.9 hrs,,,,,,,,
The Walking Dead,Completed,0.5 hrs,0 hrs,,,,,,,,
The Walking Dead: Saints & Sinners,Backlog,10.4 hrs,4.1 hrs,,,,,,,,
The Walking Dead: Season Two,Completed,9.5 hrs,0 hrs,,,,,,,,
The Witcher 2: Assassins of Kings Enhanced Edition,Completed,24 hrs,28.3 hrs,,,,,,,,
The Witcher 3: Wild Hunt,Completed,51.6 hrs,214.4 hrs,,,,,,,,
The Witcher: Enhanced Edition,Completed,35.3 hrs,29.4 hrs,,,,,,,,
The Wolf Among Us,Backlog,8.6 hrs,0 hrs,,,,,,,,
Thief Simulator,Arcade,13 hrs,0.5 hrs,,,,,,,,
This Means Warp,Multiplayer,11.7 hrs,0 hrs,,,,,,,,
Thronebreaker: The Witcher Tales,Backlog,27.8 hrs,0 hrs,,,,,,,,
Tiny Terry's Turbo Trip,Backlog,3.5 hrs,0 hrs,,,,,,,,
Titanfall® 2,Backlog,6 hrs,0.3 hrs,,,,,,,,
To the Moon,Backlog,4.1 hrs,0 hrs,,,,,,,,
Tomb Raider,Completed,11.3 hrs,11.2 hrs,,,,,,,,
Tomb Raider I-III Remastered Starring Lara Croft,Backlog,36.4 hrs,0 hrs,,,,,,,,
Tony Hawk's™ Pro Skater™ 1 + 2,Arcade,7 hrs,4.2 hrs,,,,,,,,
Tony Hawk's™ Pro Skater™ 3 + 4,Arcade,7 hrs,0.6 hrs,,,,,,,,
Tormentor❌Punisher,Arcade,3 hrs,0 hrs,,,,,,,,
Total War: PHARAOH,Arcade,34.5 hrs,0 hrs,,,,,,,,
Total War: PHARAOH DYNASTIES,Arcade,54.4 hrs,0 hrs,,,,,,,,
Total War: SHOGUN 2,Arcade,27.2 hrs,0 hrs,,,,,,,,
Town of Salem,Multiplayer,25.5 hrs,1.5 hrs,,,,,,,,
Toybox Turbos,Arcade,2.7 hrs,0 hrs,,,,,,,,
Trepang2,Backlog,5.2 hrs,0 hrs,,,,,,,,
Trials of Mana,Backlog,20.4 hrs,8.6 hrs,,,,,,,,
Trombone Champ,Arcade,3.7 hrs,1.1 hrs,,,,,,,,
TROUBLESHOOTER: Abandoned Children,Backlog,82.2 hrs,0 hrs,,,,,,,,
Two Point Campus,Arcade,26.1 hrs,0 hrs,,,,,,,,
Ultra Street Fighter IV,Multiplayer,2.5 hrs,2.3 hrs,,,,,,,,
Ultros,Backlog,11.2 hrs,0 hrs,,,,,,,,
Uncanny Valley,Backlog,1.5 hrs,0 hrs,,,,,,,,
UNDEFEATED,Arcade,0.4 hrs,0 hrs,,,,,,,,
Undertale,Completed,7 hrs,13.8 hrs,,,,,,,,
Unholy Heights,Arcade,10.1 hrs,4.8 hrs,,,,,,,,
Universe For Sale,Backlog,4.9 hrs,0 hrs,,,,,,,,
Until You Fall,Backlog,7.7 hrs,0 hrs,,,,,,,,
Unturned,Multiplayer,20.8 hrs,1 hrs,,,,,,,,
Vampire Survivors,Arcade,14.8 hrs,0.2 hrs,,,,,,,,
Vampire: The Masquerade - Bloodlines,Dropped,22.8 hrs,5.5 hrs,,,,,,,,
Vampyr,Completed,16.8 hrs,27.6 hrs,,,,,,,,
Vanguard Princess,Multiplayer,0.8 hrs,0 hrs,,,,,,,,
Velvet Assassin,Backlog,10 hrs,0 hrs,,,,,,,,
Venba,Backlog,1.5 hrs,0 hrs,,,,,,,,
Viking: Battle for Asgard,Completed,13.3 hrs,0 hrs,,,,,,,,
Viscera Cleanup Detail,Arcade,11.6 hrs,1.1 hrs,,,,,,,,
VRChat,Multiplayer,95.4 hrs,7.3 hrs,,,,,,,,
Wands,Multiplayer,4 hrs,0 hrs,,,,,,,,
War Trigger 3,Multiplayer,0 hrs,0.9 hrs,,,,,,,,
Warframe,Multiplayer,113.6 hrs,1.5 hrs,,,,,,,,
"Warhammer 40,000: Boltgun",Backlog,9.9 hrs,2.6 hrs,,,,,,,,
"Warhammer 40,000: Darktide",Multiplayer,29.3 hrs,6.3 hrs,,,,,,,,
"Warhammer 40,000: Gladius - Relics of War",Backlog,11.2 hrs,0 hrs,,,,,,,,
"Warhammer 40,000: Rogue Trader",Playing,62.9 hrs,6.1 hrs,,,,,,,,
"Warhammer 40,000: Space Marine - Anniversary Edition",Completed,7.5 hrs,8.8 hrs,,,,,,,,
"Warhammer 40,000: Space Marine 2",Completed,9.6 hrs,20.5 hrs,,,,,,,,
"Warhammer 40,000: Speed Freeks",Arcade,0 hrs,0 hrs,,,,,,,,
Warhammer Age of Sigmar: Realms of Ruin,Backlog,13.5 hrs,0 hrs,,,,,,,,
Warhammer: Vermintide 2,Multiplayer,10.9 hrs,5.3 hrs,,,,,,,,
Warmachine Tactics,Backlog,29.4 hrs,0 hrs,,,,,,,,
Warpips,Arcade,7.3 hrs,0 hrs,,,,,,,,
We Went Back,Backlog,0.7 hrs,0 hrs,,,,,,,,
Weapon Shop Fantasy,Arcade,13.5 hrs,0 hrs,,,,,,,,
Whisper of a Rose,Backlog,0 hrs,0 hrs,,,,,,,,
Wildmender,Backlog,20 hrs,0 hrs,,,,,,,,
Wizard with a Gun,Multiplayer,13.5 hrs,0 hrs,,,,,,,,
WORLD OF FINAL FANTASY,Backlog,35.5 hrs,0 hrs,,,,,,,,
Worms Ultimate Mayhem,Arcade,7.2 hrs,0.9 hrs,,,,,,,,
Worms W.M.D,Arcade,14.8 hrs,4.5 hrs,,,,,,,,
X-COM: Apocalypse,Backlog,32.6 hrs,0 hrs,,,,,,,,
X-COM: Enforcer,Backlog,4.4 hrs,0 hrs,,,,,,,,
X-COM: Interceptor,Backlog,13.1 hrs,0 hrs,,,,,,,,
X-COM: Terror from the Deep,Backlog,34.2 hrs,0 hrs,,,,,,,,
X-COM: UFO Defense,Backlog,38.3 hrs,0 hrs,,,,,,,,
XCOM 2,Backlog,33.3 hrs,0 hrs,,,,,,,,
XCOM: Chimera Squad,Backlog,21.4 hrs,0 hrs,,,,,,,,
XCOM: Enemy Unknown,Backlog,26.7 hrs,0 hrs,,,,,,,,
Yakuza 0,Completed,31.5 hrs,0 hrs,,,,,,,,
Yakuza Kiwami,Completed,18 hrs,91.6 hrs,,,,,,,,
Yakuza Kiwami 2,Completed,18.5 hrs,35.5 hrs,,,,,,,,
"Yes, Your Grace",Backlog,6.4 hrs,2 hrs,,,,,,,,
You Suck at Parking® - Complete Edition,Arcade,8 hrs,0 hrs,,,,,,,,
Ys Origin,Backlog,11.5 hrs,0 hrs,,,,,,,,
Yume Nikki,Backlog,5 hrs,0 hrs,,,,,,,,
Yuppie Psycho,Backlog,8.5 hrs,2.3 hrs,,,,,,,,
Zero Caliber VR,Arcade,5 hrs,0 hrs,,,,,,,,
Zoeti,Backlog,8.5 hrs,0 hrs,,,,,,,,
Zoria: Age of Shattering Prologue,Arcade,0 hrs,0 hrs,,,,,,,,
嗜血印 Bloody Spell,Backlog,5.5 hrs,0 hrs,,,,,,,,
